EmployeeID,Age,Gender,Position,Years_of_Experience,Base_Salary,Payroll_Taxes,Benefits,Merit_Contributions,Exceeds_Quota,Annual_Overhead_Costs,Total_Compensation,Cost_per_Employee
37,44,Female,Manager,2,48071,9801,4779,2,1,18746,62651,13273.63
38,52,Female,Technician,26,89275,7846,8895,1,0,11316,106016,13707.28
39,31,Female,Technician,17,102369,9731,2924,3,0,18956,115024,13797.36
40,32,Female,Clerk,33,41938,10241,4956,8,0,11469,57135,13218.47
41,59,Male,Clerk,9,65195,3953,3581,5,1,18721,72729,13374.41
42,38,Female,Engineer,29,34000,5539,9714,0,0,14333,49253,13139.65
43,41,Male,Engineer,26,100588,10056,5324,7,0,15002,115968,13806.8
44,28,Male,Manager,25,68304,4542,6485,6,0,13915,79331,13440.43
45,26,Female,Engineer,24,99449,8293,7713,9,1,5224,115455,13801.67
46,30,Female,Technician,13,112986,4191,9026,2,1,17819,126203,13909.15
47,28,Female,Clerk,7,119643,9313,2255,0,0,9208,131211,13959.23
48,53,Female,Engineer,20,50764,9938,6804,4,0,11283,67506,13322.18
49,42,Female,Engineer,1,116027,5681,3838,3,0,17846,125546,13902.58
50,50,Female,Manager,8,68494,4540,3944,9,0,7048,76978,13416.9
51,58,Female,Manager,16,33373,9172,8593,7,1,11233,51138,13158.5
52,34,Female,Technician,14,42161,8541,2009,0,1,17941,52711,13174.23
53,38,Male,Clerk,12,57350,4365,4871,9,1,17607,66586,13312.98
54,55,Female,Manager,23,55351,11691,2797,0,1,14765,69839,13345.51
55,39,Female,Engineer,15,118668,11702,9409,3,0,6828,139779,14044.91
56,32,Male,Clerk,28,45305,10494,9418,7,0,6917,65217,13299.29
57,38,Female,Clerk,34,105353,7312,6972,4,0,9234,119637,13843.49
58,47,Male,Engineer,2,106797,4324,7124,1,1,11988,118245,13829.57
59,45,Male,Manager,32,95953,6141,9286,5,0,7026,111380,13760.92
60,40,Female,Engineer,23,87458,10419,3015,4,1,19594,100892,13656.04
61,42,Male,Clerk,22,50358,6486,3824,1,1,8744,60668,13253.8
62,48,Male,Sales,25,33267,4810,6469,2,0,14093,44546,13092.58
63,50,Male,Sales,22,112745,9588,5136,8,0,17977,127469,13921.81
64,49,Male,Technician,22,119588,5923,4193,6,0,15231,129704,13944.16
65,53,Female,Engineer,6,68513,8301,2223,6,1,5009,79037,13437.49
66,39,Male,Engineer,15,56092,7186,7358,5,0,5260,70636,13353.48
67,25,Female,Technician,33,41338,11905,8320,7,1,11038,61563,13262.75
68,49,Male,Technician,8,30412,8977,7898,3,0,14865,47287,13119.99
69,31,Male,Technician,5,37543,7268,6948,7,1,7219,51759,13164.71
70,33,Male,Clerk,4,63496,7748,9449,3,1,12041,80693,13454.05
71,48,Male,Engineer,6,90692,7849,6158,7,0,7060,104699,13694.11
72,25,Female,Clerk,32,119084,6709,7336,8,1,10287,133129,13978.41
73,32,Female,Technician,30,74425,9619,5925,2,1,16905,89969,13546.81
74,48,Male,Engineer,16,68756,11647,8970,2,0,6619,89373,13540.85
75,35,Male,Clerk,13,48888,6072,8938,1,1,13512,63898,13286.1
76,41,Female,Clerk,30,65735,9530,6784,9,0,6342,82049,13467.61
77,32,Male,Technician,19,77295,3504,7580,2,1,18924,88379,13530.91
78,59,Male,Engineer,17,113042,4214,6000,2,0,15568,123256,13879.68
79,59,Male,Technician,19,115999,4531,3633,4,0,7832,124163,13888.75
80,57,Female,Engineer,28,47955,10576,4152,4,1,7824,62683,13273.95
81,29,Female,Sales,26,67841,3823,9266,1,1,6994,80930,13456.42
82,52,Female,Manager,26,100640,3928,2510,9,1,16150,107078,13717.9
83,31,Male,Manager,23,95510,8029,2384,5,1,19231,105923,13706.35
84,33,Male,Manager,9,64911,3133,2404,4,1,15230,70448,13351.6
85,32,Female,Technician,12,89031,5105,8966,5,0,8490,103102,13678.14
86,36,Female,Sales,1,118726,6627,6613,0,1,16869,131966,13966.78
87,58,Female,Engineer,1,37357,9316,6571,4,0,14310,53244,13179.56
88,57,Female,Clerk,34,62479,4852,4000,8,0,12984,71331,13360.43
89,47,Male,Engineer,32,91476,7910,4756,9,1,6604,104142,13688.54
90,48,Female,Clerk,25,74811,7175,3668,1,0,19653,85654,13503.66
91,59,Male,Engineer,1,66208,8348,7989,0,0,17219,82545,13472.57
92,46,Female,Sales,16,50150,9190,8914,9,0,5235,68254,13329.66
93,51,Male,Clerk,5,101180,4256,3460,8,0,15161,108896,13736.08
94,59,Female,Technician,22,73286,6376,9190,9,1,17621,88852,13535.64
95,25,Female,Engineer,29,98450,8645,9140,8,0,6908,116235,13809.47
96,59,Female,Engineer,3,51352,6486,5636,8,1,13567,63474,13281.86
97,38,Female,Clerk,12,85069,6584,4724,5,1,8530,96377,13610.89
98,27,Male,Technician,26,44397,11053,6809,7,0,10256,62259,13269.71
99,25,Female,Technician,16,71555,6330,9625,0,1,7635,87510,13522.22
100,29,Male,Sales,22,76959,5703,6178,9,1,13162,88840,13535.52
